Feature,MI_Norm,RF_Norm,Corr_Norm,Avg_Score
grade_2,1.0,1.0,1.0,1.0
grade_1,0.6971352493981432,0.024282933207006144,0.9661130191882366,0.5625104005977953
class_failures,0.09745891280461833,0.002116702569007014,0.43118519052223914,0.17692026863195484
higher_ed_encoded,0.08862545662787115,0.00015317109239095354,0.3849598135387934,0.1579128137530185
higher_ed,0.05345757625843097,0.0001458255504130743,0.3849598135387934,0.14618773844921248
student_id,0.18963739282978692,0.022762650629303383,0.16647615180008896,0.1262920650863931
school,0.0555478068715881,0.00018245171545803326,0.3108316933291112,0.12218731730538578
school_encoded,0.03479279847443091,0.0004207235894987436,0.3108316933291112,0.11534840513101362
mother_education_higher education,0.021583190276024643,0.0006538942806602403,0.2861744841197925,0.10280385622549247
study_time_<2 hours,0.028996978017865983,0.001297926825194138,0.27753410513492494,0.10260966999266169
mother_education_primary education (4th grade),0.05580172630447163,0.00156836144095269,0.2393686599848666,0.09891291591009697
weekend_alcohol,0.06501975579134513,0.005589627291140352,0.20517910947213094,0.09192949751820546
mother_job,0.04854394887816848,0.003068796692646317,0.21214244409673752,0.08791839655585076
weekday_alcohol,0.015592985898944034,0.0024302189564359145,0.23284104635071168,0.0836214170686972
school_choice_reason_reputation,0.0136788714014304,0.0006685901880349325,0.20531599813981533,0.07322115324309356
father_education_primary education (4th grade),0.0,0.000903414162950381,0.21742495350321472,0.07277612255538837
mother_job_teacher,0.038451764688776514,0.00027221143059090865,0.177785926739371,0.07216996761957947
absences,0.03238772930584223,0.0055484282082665145,0.17752909490050486,0.0718217508048712
address_type,0.019392965008796656,0.0002421307211781117,0.18870237957404004,0.06944582510133827
father_education_higher education,0.020148986482107306,0.0009086880120139618,0.18682461311377474,0.06929409586929867
study_time_5 to 10 hours,0.004647873815339605,0.0004260480923549416,0.20186005818894145,0.06897799336554533
internet_access_encoded,0.029812826480937207,0.00026448319236447253,0.17308121680407842,0.06771950882579338
health,0.0844743137838505,0.0028611494142390228,0.10739668093891344,0.06491071471233432
travel_time_<15 min.,0.04007283736599701,0.0005441676576166774,0.1525206790612334,0.06437922802828236
address_type_encoded,0.0,0.0003031004072870252,0.18870237957404004,0.06300182666044236
internet_access,0.013300060491690448,0.0004094695347529251,0.17308121680407842,0.0622635822768406
sex_encoded,0.02446083834560365,0.0008356436495571967,0.15367759419126661,0.05965802539547582
school_choice_reason,0.004418833853866934,0.0018795401995672714,0.1706988160208587,0.05899906335809763
study_time,0.03971533547103112,0.0017988134475999543,0.12400660126027989,0.05517358339297032
father_job_teacher,0.0,0.0001189728683537971,0.1608020583740294,0.053640343747461065
mother_education,0.037064117482568854,0.0023548460528672647,0.12072504804989373,0.05338133719510995
sex,0.0,0.0006541349124439012,0.15367759419126661,0.051443909701236835
school_choice_reason_other,0.03288431147142364,0.0007744889539429317,0.12010947506907678,0.05125609183148112
guardian_other,0.03601753607708683,0.00023773418485015693,0.11613053299072615,0.05079526775088772
social,0.01582592241130661,0.0032522126900881463,0.11429625650948641,0.044458130536960384
travel_time,0.042520173561777924,0.0023915602780860594,0.0867002510383597,0.04387066162607456
free_time,0.00018377096665790494,0.00325081083608413,0.1268413126051969,0.043425298135979645
activities,0.025029590789239164,0.000814376826665937,0.10076558143650297,0.04220318301746936
study_time_>10 hours,0.032381761444006785,2.6384591523308786e-05,0.09333330344798024,0.04191381649450345
activities_encoded,0.020227331242544014,0.0005469961777908541,0.10076558143650297,0.04051330295227928
family_relationship,0.026805181802198496,0.0033292793823875553,0.09020327995238837,0.04011258037899148
father_education,0.05589403874926573,0.001963408873990115,0.06087137708025554,0.039576274901170466
school_choice_reason_home,0.06170415944313311,0.0006616381278935638,0.05594717916496406,0.03943765891199691
guardian,0.0,0.0011867551218768975,0.11426144423992918,0.038482733120602026
school_support_encoded,0.025264736296299592,0.0005113099081326955,0.08905323378131663,0.03827642666191631
school_support,0.018892502944452834,0.000509618513021501,0.08905323378131663,0.03615178507959699
mother_job_health,0.0,0.000540601353721884,0.10736842450669669,0.03596967528680619
travel_time_30 min. to 1 hour,0.006864006596404459,0.0002852569980009918,0.09840247237081907,0.03518391198840817
father_job,0.024379214706346013,0.0018396291759582807,0.0777043058580643,0.0346410499134562
extra_paid_classes_encoded,0.029700001576160758,0.0006741684347735394,0.06977839374085935,0.03338418791726455
nursery_school_encoded,0.03669913449150904,0.0008828795780123603,0.05936250419624883,0.03231483942192342
age,0.014568628476165352,0.004691868429477847,0.07201596419521238,0.030425487033618526
travel_time_>1 hour,0.0,0.0007224546292955935,0.0884408092292362,0.029721087952843932
romantic_relationship,0.015941312183163265,0.0007587860214873998,0.06930901436252558,0.02866970418905875
father_education_secondary education,0.005613835643529416,0.00036764442082782574,0.07285265902343614,0.026278046362597795
nursery_school,0.015979465858573145,0.0009748860221188122,0.05936250419624883,0.02543895202564693
extra_paid_classes,0.004011001554320596,0.0007162391220015056,0.06977839374085935,0.024835211472393818
romantic_relationship_encoded,0.0,0.0004033897671295471,0.06930901436252558,0.023237468043218374
mother_job_services,0.015397423671997361,0.0007971032371435557,0.040807630007365356,0.01900071897216876
father_job_health,0.0,8.380095787298996e-05,0.048427142243114986,0.016170314400329327
father_job_services,0.0,0.000864985667045001,0.045568181701804496,0.015477722456283165
mother_job_other,0.0,0.0012727934537926139,0.0376381955725077,0.01297032967543344
family_size_encoded,0.010200206182294618,0.0006563404860803656,0.02490628950966246,0.011920945392679148
family_size,0.006410103400882245,0.0011458480742810018,0.02490628950966246,0.010820746994941904
mother_education_secondary education,0.02331263072008557,0.00033738083160048436,0.008207252117360127,0.010619087889682058
family_support,0.0,0.0008486820421848981,0.0303479589481646,0.0103988803301165
family_support_encoded,0.0,0.0006248170953966741,0.0303479589481646,0.01032425868118709
father_job_other,0.0,0.0006025667450265149,0.027277972671340085,0.009293513138788867
mother_education_none,0.0,0.0020183977315066286,0.024368200223057083,0.008795532651521236
parent_status_encoded,0.011340101882532934,0.00017657129213283093,0.0031490067198619957,0.004888559964842587
guardian_mother,0.001728462967336688,0.0006197379196403388,0.005710626875363563,0.0026862759207801966
parent_status,0.0,0.00011384938038487444,0.0031490067198619957,0.00108761870008229
father_education_none,0.0,0.0,0.0,0.0
